cm	fotos	estojo	personnalite	laminas	base	final
20	85	0	1	43	R$ 2.550,00	R$ 2.690,00
20	86	0	1	43	R$ 2.580,00	R$ 2.714,00
20	87	0	1	44	R$ 2.610,00	R$ 2.738,00
20	88	0	1	44	R$ 2.640,00	R$ 2.762,00
20	89	0	1	45	R$ 2.670,00	R$ 2.786,00
20	90	0	1	45	R$ 2.700,00	R$ 2.810,00
20	20	1	1	10	R$ 600,00	R$ 1.750,00
20	21	1	1	11	R$ 630,00	R$ 1.780,00
20	22	1	1	11	R$ 660,00	R$ 1.810,00
20	23	1	1	12	R$ 690,00	R$ 1.840,00
20	24	1	1	12	R$ 720,00	R$ 1.870,00
20	25	1	1	13	R$ 750,00	R$ 1.900,00
20	26	1	1	13	R$ 780,00	R$ 1.930,00
20	27	1	1	14	R$ 810,00	R$ 1.960,00
20	28	1	1	14	R$ 840,00	R$ 1.990,00
20	29	1	1	15	R$ 870,00	R$ 2.020,00
20	30	1	1	15	R$ 900,00	R$ 2.050,00
20	31	1	1	16	R$ 930,00	R$ 2.033,50
20	32	1	1	16	R$ 960,00	R$ 2.062,00
20	33	1	1	17	R$ 990,00	R$ 2.090,50
20	34	1	1	17	R$ 1.020,00	R$ 2.119,00
20	35	1	1	18	R$ 1.050,00	R$ 2.147,50
20	36	1	1	18	R$ 1.080,00	R$ 2.176,00
20	37	1	1	19	R$ 1.110,00	R$ 2.204,50
20	38	1	1	19	R$ 1.140,00	R$ 2.233,00
20	39	1	1	20	R$ 1.170,00	R$ 2.261,50
20	40	1	1	20	R$ 1.200,00	R$ 2.290,00
20	41	1	1	21	R$ 1.230,00	R$ 2.257,00
20	42	1	1	21	R$ 1.260,00	R$ 2.284,00
20	43	1	1	22	R$ 1.290,00	R$ 2.311,00
20	44	1	1	22	R$ 1.320,00	R$ 2.338,00
20	45	1	1	23	R$ 1.350,00	R$ 2.365,00
20	46	1	1	23	R$ 1.380,00	R$ 2.392,00
20	47	1	1	24	R$ 1.410,00	R$ 2.419,00
20	48	1	1	24	R$ 1.440,00	R$ 2.446,00
20	49	1	1	25	R$ 1.470,00	R$ 2.473,00
20	50	1	1	25	R$ 1.500,00	R$ 2.500,00
20	51	1	1	26	R$ 1.530,00	R$ 2.450,50
20	52	1	1	26	R$ 1.560,00	R$ 2.476,00
20	53	1	1	27	R$ 1.590,00	R$ 2.501,50
20	54	1	1	27	R$ 1.620,00	R$ 2.527,00
20	55	1	1	28	R$ 1.650,00	R$ 2.552,50
20	56	1	1	28	R$ 1.680,00	R$ 2.578,00
20	57	1	1	29	R$ 1.710,00	R$ 2.603,50
20	58	1	1	29	R$ 1.740,00	R$ 2.629,00
20	59	1	1	30	R$ 1.770,00	R$ 2.654,50
20	60	1	1	30	R$ 1.800,00	R$ 2.680,00
20	61	1	1	31	R$ 1.830,00	R$ 2.614,00
20	62	1	1	31	R$ 1.860,00	R$ 2.638,00
20	63	1	1	32	R$ 1.890,00	R$ 2.662,00
20	64	1	1	32	R$ 1.920,00	R$ 2.686,00
20	65	1	1	33	R$ 1.950,00	R$ 2.710,00
20	66	1	1	33	R$ 1.980,00	R$ 2.734,00
20	67	1	1	34	R$ 2.010,00	R$ 2.758,00
20	68	1	1	34	R$ 2.040,00	R$ 2.782,00
20	69	1	1	35	R$ 2.070,00	R$ 2.806,00
20	70	1	1	35	R$ 2.100,00	R$ 2.830,00
20	71	1	1	36	R$ 2.130,00	R$ 2.854,00
20	72	1	1	36	R$ 2.160,00	R$ 2.878,00
20	73	1	1	37	R$ 2.190,00	R$ 2.902,00
20	74	1	1	37	R$ 2.220,00	R$ 2.926,00
20	75	1	1	38	R$ 2.250,00	R$ 2.950,00
20	76	1	1	38	R$ 2.280,00	R$ 2.974,00
20	77	1	1	39	R$ 2.310,00	R$ 2.998,00
20	78	1	1	39	R$ 2.340,00	R$ 3.022,00
20	79	1	1	40	R$ 2.370,00	R$ 3.046,00
20	80	1	1	40	R$ 2.400,00	R$ 3.070,00
20	81	1	1	41	R$ 2.430,00	R$ 3.094,00
20	82	1	1	41	R$ 2.460,00	R$ 3.118,00
20	83	1	1	42	R$ 2.490,00	R$ 3.142,00
20	84	1	1	42	R$ 2.520,00	R$ 3.166,00
20	85	1	1	43	R$ 2.550,00	R$ 3.190,00
20	86	1	1	43	R$ 2.580,00	R$ 3.214,00
20	87	1	1	44	R$ 2.610,00	R$ 3.238,00
20	88	1	1	44	R$ 2.640,00	R$ 3.262,00
20	89	1	1	45	R$ 2.670,00	R$ 3.286,00
20	90	1	1	45	R$ 2.700,00	R$ 3.310,00
25	25	0	0	10	R$ 750,00	R$ 750,00
25	26	0	0	10	R$ 780,00	R$ 780,00
25	27	0	0	11	R$ 810,00	R$ 810,00
25	28	0	0	11	R$ 840,00	R$ 840,00
25	29	0	0	12	R$ 870,00	R$ 870,00
25	30	0	0	12	R$ 900,00	R$ 900,00
25	31	0	0	12	R$ 930,00	R$ 930,00
25	32	0	0	13	R$ 960,00	R$ 960,00
25	33	0	0	13	R$ 990,00	R$ 990,00
25	34	0	0	14	R$ 1.020,00	R$ 1.020,00
25	35	0	0	14	R$ 1.050,00	R$ 1.050,00
25	36	0	0	14	R$ 1.080,00	R$ 1.080,00
25	37	0	0	15	R$ 1.110,00	R$ 1.110,00
25	38	0	0	15	R$ 1.140,00	R$ 1.140,00
25	39	0	0	16	R$ 1.170,00	R$ 1.111,50
25	40	0	0	16	R$ 1.200,00	R$ 1.140,00
25	41	0	0	16	R$ 1.230,00	R$ 1.168,50
25	42	0	0	17	R$ 1.260,00	R$ 1.197,00
